"Battery", "DT", "WH", "W", "A", "V"
"DemoBatt1",09/08/2021 21:30:31,277.62055,-2.31933,-0.081,28.666
"DemoBatt1",09/08/2021 23:38:27,274.96475,-2.30407,-0.079,28.626
"DemoBatt1",10/08/2021 13:22:14,274.87302,-2.2583,-0.078,28.623
"DemoBatt1",10/08/2021 13:27:18,274.93789,-0.33569,-0.012,28.648
"DemoBatt1",10/08/2021 13:34:05,274.96603,39.18457,1.353,28.952
"DemoBatt1",10/08/2021 16:35:52,274.86589,-0.33569,-0.01,28.648
"DemoBatt1",10/08/2021 19:47:34,205.83984,-0.35095,-0.012,27.772
"DemoBatt1",11/08/2021 22:40:13,205.79606,-0.35095,-0.012,28.678
"DemoBatt1",12/08/2021 16:41:28,205.73993,-2.24304,-0.081,27.801
"DemoBatt1",12/08/2021 20:15:56,140.37507,-0.32043,-0.012,26.709
"DemoBatt1",13/08/2021 09:41:16,140.43003,54.55017,2.005,27.207
"DemoBatt1",13/08/2021 09:48:21,146.92484,55.19103,2.014,27.393
"DemoBatt1",13/08/2021 13:49:53,294.95215,-2.42614,-0.083,29.103
"DemoBatt1",13/08/2021 14:51:48,294.3134,-2.27355,-0.078,29.043
"DemoBatt1",13/08/2021 20:33:08,190.29992,-0.35095,-0.012,27.312
"DemoBatt1",14/08/2021 21:01:42,142.93084,-2.16674,-0.081,26.602
"DemoBatt1",14/08/2021 22:41:17,142.2737,-2.28881,-0.086,26.61
"DemoBatt1",15/08/2021 13:54:25,140.86697,-79.8645,-2.581,26.042
"DemoBatt1",15/08/2021 18:29:08,99,-2.182,-0.083,24.51
"DemoBatt1",17/08/2021 13:11:37,5,0,0,0
"DemoBatt1",17/08/2021 13:16:37,9.85768,52.24609,2.011,25.977
"DemoBatt1",17/08/2021 15:20:32,123.79276,-0.35095,-0.012,27.811
"DemoBatt1",17/08/2021 17:21:08,123.7742,-0.27465,-0.009,27.998
"DemoBatt1",17/08/2021 17:26:08,128.50521,57.92236,2.023,28.618
"DemoBatt1",17/08/2021 17:41:08,141.71135,-0.27465,-0.009,28.278
"DemoBatt1",17/08/2021 19:08:33,141.69446,-0.39672,-0.015,28.222
"DemoBatt1",17/08/2021 19:13:33,145.775,57.75451,2.006,28.791
"DemoBatt1",17/08/2021 19:18:33,146.76955,-0.27465,-0.009,28.295
"DemoBatt1",17/08/2021 20:20:02,146.75897,-0.28991,-0.009,28.263
"DemoBatt1",17/08/2021 20:25:02,150.41582,52.01721,1.806,28.798
"DemoBatt1",17/08/2021 22:33:32,204.09158,-0.30517,-0.009,29.128
"DemoBatt1",17/08/2021 23:38:30,204.0691,-2.34985,-0.081,29.068
"DemoBatt1",17/08/2021 23:48:35,199.64622,-2.24304,-0.077,29.047
"DemoBatt1",18/08/2021 11:45:38,199.43106,-2.2583,-0.077,29.001
"DemoBatt1",18/08/2021 21:24:31,123.41898,-2.19726,-0.078,27.871
"DemoBatt1",19/08/2021 00:04:10,122.75263,-2.19726,-0.078,27.854
"DemoBatt1",19/08/2021 19:37:36,61.58707,-2.09045,-0.078,26.777
"DemoBatt1",19/08/2021 19:42:36,65.15132,54.82482,2.001,27.387
"DemoBatt1",19/08/2021 23:56:52,208.60938,-2.22778,-0.076,29.083
"DemoBatt1",19/08/2021 23:57:41,200,0,0,0
"DemoBatt1",20/08/2021 00:02:42,199.8158,-2.21252,-0.076,29.069
"DemoBatt1",20/08/2021 00:07:42,199.63146,-2.21252,-0.076,29.059
"DemoBatt1",20/08/2021 00:12:42,199.47888,-0.30517,-0.009,29.067
